time[ms],desiredTension1,desiredTension2,desiredTension3,desiredTension4,desiredTension5,desiredTension6,desiredTension7,desiredTension8,desiredTension9,desiredTension10,desiredTension11,desiredTension12,desiredTension13,desiredTension14, tension1,tension2,tension3,tension4,tension5,tension6,tension7,tension8,tension9,tension10,tension11,tension12,tension13,tension14
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
1315270040.000
1315270069.000
1315270089.000
1315270119.000
1315270149.000
1315270179.000
1315270209.000
1315270239.000
1315270269.000
1315270299.000
1315270329.000
1315270359.000
1315270389.000
1315270419.000
1315270449.000
1315270479.000
1315270509.000
1315270539.000
1315270569.000
1315270599.000
1315270629.000
1315270659.000
1315270689.000
1315270719.000
1315270749.000
1315270779.000
1315270809.000
1315270839.000
1315270869.000
1315270899.000
1315270929.000
1315270959.000
1315270989.000
1315271019.000
1315271049.000
1315271079.000
1315271109.000
1315271139.000
1315271169.000
1315271199.000
1315271229.000
1315271259.000
1315271289.000
1315271319.000
1315271349.000
1315271379.000
1315271409.000
1315271429.000
1315271459.000
1315271489.000
1315271519.000
1315271549.000
1315271579.000
1315271609.000
1315271639.000
1315271669.000
1315271699.000
1315271729.000
1315271759.000
1315271779.000
1315271809.000
1315271839.000
1315271869.000
1315271889.000
1315271919.000
1315271949.000
1315271979.000
1315272009.000
1315272039.000
1315272069.000
1315272099.000
1315272129.000
1315272159.000
1315272179.000
1315272201.000
1315272230.000
1315272259.000
1315272289.000
1315272319.000
1315272349.000
1315272379.000
1315272409.000
1315272430.000
1315272459.000
1315272489.000
1315272519.000
1315272549.000
1315272583.000
1315272609.000
1315272639.000
1315272669.000
1315272699.000
1315272729.000
1315272759.000
1315272789.000
1315272819.000
1315272849.000
1315272879.000
1315272909.000
1315272939.000
1315272969.000
1315272999.000
1315273029.000
1315273059.000
1315273089.000
1315273119.000
1315273149.000
1315273179.000
1315273209.000
1315273239.000
1315273269.000
1315273299.000
1315273329.000
1315273359.000
1315273389.000
1315273419.000
1315273449.000
1315273479.000
1315273509.000
1315273539.000
1315273569.000
1315273599.000
1315273629.000
1315273659.000
1315273679.000
1315273709.000
1315273739.000
1315273769.000
1315273799.000
1315273829.000
1315273859.000
1315273889.000
1315273919.000
1315273949.000
1315273979.000
1315274009.000
1315274039.000
1315274069.000
1315274099.000
1315274129.000
1315274159.000
1315274189.000
1315274219.000
1315274249.000
1315274279.000
1315274309.000
1315274339.000
1315274369.000
1315274399.000
1315274429.000
1315274459.000
1315274489.000
1315274519.000
1315274549.000
1315274579.000
1315274609.000
1315274639.000
1315274669.000
1315274699.000
1315274729.000
1315274759.000
1315274789.000
1315274819.000
1315274849.000
1315274879.000
1315274909.000
1315274939.000
1315274969.000
1315274999.000
1315275029.000
1315275059.000
1315275089.000
1315275119.000
1315275149.000
1315275179.000
1315275209.000
1315275239.000
1315275269.000
1315275299.000
1315275329.000
1315275359.000
1315275389.000
1315275419.000
1315275449.000
1315275479.000
1315275509.000
1315275539.000
1315275569.000
1315275599.000
1315275629.000
1315275659.000
1315275689.000
1315275719.000
1315275749.000
1315275779.000
1315275809.000
1315275839.000
